classification|excerpt_lem
1|oauth  open authorization  specification client application access protect resource behalf user  develop alternative user hand login credential third  party application
1|mobile website refer design implementation web content aim client use mobile device phone tablet
2|go continuous delivery server automate build  test  release cycle  open source
0|scratch graphical drag   drop language develop mit
0|haml markup language s use cleanly simply describe html web document without use inline code  use standalone html generation tool template render engine web framework ruby rail ramaze
1|couchbase server distribute database engineer performance  scalability  availability flexible query  enable developer build application easy fast leverage power sql flexibility json  couchbase build three core principle  simple  fast  elastic
1|riak key  value datum store write erlang  implement principle amazon s dynamo paper
0|hardware abstraction layer
1|cloud foundry open platform service  provide choice cloud  developer framework application service  open source project available variety private cloud distribution public cloud instance  include cloudfoundrycom
1|storm distribute realtime computation system  similar hadoop provide set general primitive batch processing  storm provide set general primitive realtime computation  storm simple  use programming language
1|altdotnet describe coalesce community like  minded individual within large world microsoft dotnet framework feel grow frustration microsoft tooling  guidance  dotnet culture large reflect support important set core value  one common topic alt dotnet event close gap requirement  testing  code
0|wolfram language knowledge base  multi  paradigm programming language  first approximation  wolfram language  mathematica  wolframalpha  cloud   be compatible mathematica  be significant evolution  include knowledge  deployment many new idea
0|groovy object  orient programming language java platform  dynamic language feature similar python  ruby  perl smalltalk  use scripting language java platform
2|birt  business intelligence reporting tool  open source eclipse  base reporting system integrate java  java ee application produce compelling report
1|amazon s  simple storage service  online storage service amazon web service
1|realm mobile database replacement sqlite  core datum  available xamarin  java  objective  c  react native swift
0|reactivecocoa  rac  objective  c framework functional reactive programming  provide apis compose transform stream value
0|domain  specific language programming language intend particular application domain
1|ho  memory platform machine learning base java apache  technology like hadoop  aim parallelize processing provide interface many language like r python  open source project maintain xdata
0|java general  purpose object  orient programming language design use conjunction java virtual machine  jvm    java platform  name computing system instal tool develop run java program  use tag question refer java programming language java platform tool   note java confuse javascript
1|window phone microsoft s mobile operating system software development platform  use tag question specific version x
0|spring boot make easy create spring  power  production  grade application service absolute minimum fuss  take opinionated view spring platform new exist user quickly get bit need
2|open source project give system administrator power easily automate repetitive task  quickly deploy application  proactively manage server   premise cloud
1|postgresql open  source  object  relational database management system  ordbms  available major platform include linux  unix  window os x please mention exact version postgre ask question  question concern administration advanced feature well direct dbastackexchangecom
2|leaflet open  source javascript library display interactive map
2|gradle project build automation tool use groovy dsl  gradle build script support maven ivy repository well plain file system dependency management
1|coreo provide new server operating system run thousand server
1|time series sequence datum point value measure successive time  either continuous time discrete time period   time series analysis exploit natural temporal ordering extract meaning trend underlie datum
0|ionic front  end framework develop native  feel hybrid mobile app html use sass angularjs  default  run top cordova  though also choose use phonegap
2|origami prototyping tool design user interface  develop facebook release december   relate question tool andor use quartz composer  visual programming language develop apple inc
1|apache jackrabbit  content repository fully conform implementation content repository java technology api  jcr  specify jsr     content repository hierarchical content store support structured unstructured content  full text search  versioning  transaction  observation
0|totallylazy functional library java try lazy possible  like clojure s collection library
2|packer tool create identical machine image multiple platform single source configuration
0|bootstrap front  end framework design kick  start development web app site  question relate version bootstrap also use specific version s tag  twitter  bootstrap    twitter  bootstrap   twitter  bootstrap  tag
0|elm functional programming language write web application fully replace  interoperate  html  css  javascript
1|openstack  collection open source project enable open  scalable cloud infrastructure  core openstack mean provide consistent apis interface variety potential back  end
2|wcf web api project allow wcf developer expose apis via http  aspdotnet mvc  wcf web api become aspdotnet web api
1|apparmor linux security module  lsm  linux kernel  implement mandatory access control confine program within limit set resource
2|rspec behavior  drive development  bdd  framework ruby programming language  inspire jbehave  contain fully integrate mocking framework base upon jmock  framework consider domain  specific language  dsl  resemble natural language specification
1|linux container  lxc  operate system  level virtualization method run multiple isolated linux system  container  single control host
0|ruby multi  platform open  source  dynamic object  orient interpret language  create yukihiro matsumoto  matz
1|coreclr new dotnet core runtime  execution engine dotnet app  perform function il byte code loading  compilation machine code garbage collection
0|flight lightweight  component  base javascript framework map behavior dom nodes  twitter use web application
0|knockoutjs open source javascript library dynamic html uis use model  view  view model  mvvm  pattern
0|fsharp succinct  expressive efficient functional object  orient language dotnet help write simple code solve complex problem
0|dropwizard java framework develop op  friendly  high  performance  restful web service
2|splunk tool collect  monitoring  visualize analyze machine datum source  may receive fast response answerssplunkcom actively monitor splunk employee
0|alice innovative d programming environment make easy create animation tell story  play interactive game  video share web
1|paas short platform    service  category cloud  centric service
0|tla language toolchain specification base tla  temporal logic action  tla toolbox include translator pluscal tla  tlc model checker  ide
2|djs small  open  source javascript datum visualization library manipulate html  svg  css document base datum
2|packetbeat open source solution monitor distribute application  think like distribute real  time wireshark lot analytic feature  packetbeat agent sniff traffic application process  parse fly protocol like http  mysql  postgresql  redis thrift correlate message transaction  tagpacketbeat tw  packetbeat st  assess
2|squid open  source http cache proxy server
0|robolectric unit test framework allow test  drive development android app  test run inside jvm workstation
0|html  hyper text markup language  standard markup language use structuring web page format content  html describe structure website semantically along cue presentation  make markup language  rather programming language  recent revision html specification html
2|flyway boxfuse open  source database migration tool  strongly favor simplicity convention configuration  simple  focused powerful
2|appcode ide jetbrain build app io  osx
2|vagrant command line tool provisioning virtualize environment top various provider  include virtualbox  vmware aw
1|open source platform    service inspire heroku build coreo docker
1|window internet explorer  web browser develop microsoft  release  march  windows xp  windows server   windows vista  windows server   windows
0|dagger dependency injection library java android
2|automate acceptance testing framework android io  calabash enable write execute automate acceptance test mobile app  calabash cross  platform  support android ios native app
2|java base datum integration framework  use transform  map  manipulate datum various format  csv  fixlen  xml  xbase  cobol  lotus  etc    use standalone embeddedas library   connect rdbms  jms  soap  ldap  s  http  ftp  zip  tar
1|coap application protocol design constrained device  design easily translate http
0|go open source programming language initially develop google  statically  type language syntax loosely derive c  add automatic memory management  type safety  dynamic  type capability  additional build  type variable  length array key  value map  large standard library  tag  go tw  go language st  adopt
1|atom xml base news  feed format
1|amazon ec stand  amazon elastic compute cloud   part amazon web service  aws  allow user rent virtual machine instance hour  create instance  launch manage central interface  web api console
2|apache ant  formerly jakarta ant  declarative  xml  base build tool create originally java project  provide rich set standard task perform common build operation  compile java source  build archive run test  ant s functionality extend custom task macro
2|rest assure java  base test library rest service
2|highchart javascript chart library use html  svg  vml  editor offer open source  nonprofit commercial edition product
1|rackspace cloud set cloud computing product service bill utility computing basis us  base company rackspace  offering include web application host platform service   cloud site    cloud storage   cloud file    virtual private server   cloud server    load balancer  database  backup  monitoring
1|apache mesos cluster manager provide efficient resource isolation sharing across distribute application  framework
2|carthage decentralized dependency manager cocoa project
2|psake  pronounce  sah  kay   japanese rice wine  build automation tool implement windows powershell
1|open source distribute analytical engine ebay provide sql interface multi  dimensional analysis  olap  hadoop support tb pb size analysis
2|genymotion relatively fast android emulator come pre  configure android  x opengl hardware acceleration  image  suitable application testing  project evolve old builddroid project  androvm  come new player design  installer
1|opensocial public specification define component host environment  container  set common apis web  base application
2|relate browser  sync nodejs module  use synchronize url  interaction code change across multiple device
2|open  source tool java draw uml diagram
2|webpack module bundler  webpack take module dependency generate static asset represent module
1|amazon web service  aws  collection commercial service center around virtualize  commodity cluster computing  networking  database storage  well support tool offer infrastructure service  iaas
2|jquery mobile touch  optimize web framework smartphone tablet  provide unified user interface system across popular mobile device platform  build jquery
1|fido universal nd factor  uf  rapidly grow open authentication standard  allow great user account login security
2|apache maven software project management comprehension tool  tag question not relate specific maven version  use gradle tag instead question relate gradle
0|haskell advanced functional programming language  feature strong static typing  lazy evaluation  extensive parallelism concurrency support  unique abstraction capability
0|react component implement google s material design
1|tensorflow open source library machine learning machine intelligence  develop google become open source nov
1|datomic database flexible  time  base fact  support query join  elastic scalability  acid transaction
2|team foundation server complete application lifecycle management  alm  suite  offer microsoft
2|restful api modeling language  raml
2|google wave open source  real time collaboration web application provide google  extensible developer via robot gadget
2|indexeddb provide way store datum browser use javascript  unlike relational database  indexeddb use key  value store conceptually similar html s local storage  however  indexeddb well local storage store large amount datum query datum quickly  indexeddb support ie  chrome firefox  although support specific feature varie
2|jaspersoft studio free  open source  eclipse  base report designer jasperreport jasperreports server  create sophisticated layout contain chart  image  subreport  crosstab much  access datum jdbc  tablemodel  javabeans  xml  hibernate  csv  custom source  publish report pdf  rtf  xml  xls  csv  html  xhtml  text  docx  openoffice
1|refer tablet personal computer  mobile compute device characterise touchscreen interface
2|visual studio integrate development environment  ide  microsoft  use tag unless specific question visual studio  code issue
1|firefox free  open source cross  platform web browser create mozilla
2|polly dotnet       pcl  profile   library allow developer express transient exception handle policy retry  retry forever  wait retry circuit breaker fluent manner
1|digitalocean cloud  host provider deploy ssd cloud server
1|cloudstack open source cloud computing software create  managing  deploy infrastructure cloud service  use exist hypervisor oracle vm  kvm  vsphere  xenserver virtualization  addition api  cloudstack also implement amazon ec s apis  well vcloud api
2|spagobi open source business intelligence suite cover analytical area business intelligence project  like reporting  multidimensional analysis  olap   interactive cockpit  data mining  network analysis
2|xamarin software company  acquire microsoft february   create engineer behind mono  xamarinios  formerly call monotouch   xamarinandroid  formerly call mono android   xamarinmac  open source monomac  xamarin studio  open source monodevelop
0|react javascript library build user interface  use declarative paradigm aim efficient flexible
0|powershell unit testing framework
2|bootdocker lightweight linux distribution base tiny core linux make specifically run docker container  run completely ram  weigh  mb boot s  ymmv
0|rubymotion commercial system build native io android app use ruby
0|hive data warehouse system hadoop facilitate easy datum summarization  ad  hoc query  analysis large dataset store hadoop compatible file system  hive provide mechanism project structure onto datum query datum use sql  like language call hiveql
0|scala general purpose programming language principally target java virtual machine  design express common programming pattern concise  elegant  type  safe way  fuse imperative functional programming style  key feature  advanced static type system type inference  function type  pattern  match  implicit parameter conversion  operator overloading  full interoperability java  concurrency
2|ruby build utility similar make build command define pure ruby
1|docker provide high  level api containerize unix process application degree isolation repeatability across server
0|python dynamic strongly type programming language design emphasize usability  two similar incompatible version python widespread use      version  specific python question consider use python pythonx tag addition python tag
1|ibeacon bluetooth low energy  ble  also know bluetooth smart  transmitter notify nearby receiver  smart phone  presence purpose proximity sensing  unique identifier allow receiver take specific action display notification message configure use smart device lamp  smart  switch sensor
2|nacl  pronounce  salt   high  speed software library network communication  encryption  decryption  signature   confuse  google  nativeclient
1|presto open source distribute sql query engine run interactive analytic query datum source size range gigabyte petabyte
1|vertx event drive application framework run jvm allow development asynchronous web application java  javascript  coffeescript ruby  python  clojure  ceylon groovy
2|jekyll blog  aware  static site generator write ruby
1|cordova  formerly phonegap  open  source  cross  device mobile development platform allow developer create mobile application use standard web technology like html  javascript  css deploy device  rather program device s native language
2|rest client chrome browser  tagpostman tw  postman st  trial
1|osgi framework module system service platform java programming language implement complete dynamic component model  tag  osgi tw  osgi st  hold
2|apache pig platform analyze large datum set consist high  level language express datum analysis program  couple infrastructure evaluate program  salient property pig program structure amenable substantial parallelization enable handle large datum setstagapache  pig tw  apache pig st  trial
2|espresso library use write android ui test  know also google s testing tool android
0|less open  source stylesheet preprocessor extend css dynamic behavior variable  mixin  operation function  be also unix command display file
2|selenium popular open  source tool automate web browser  use tag  also include tag specific component use  eg selenium  webdriver language binding  selenium  ide  selenium  grid  etc
2|icon font font contain glyph use icon web page application  use tag question involve font use specifically way  include various method practice use glyph icon create font contain glyph
0|httpspdyproguard client android java application
2|cursive plug  intellij write clojure clojurescript code
0|sinatra domain specific language  dsl  quickly create web application ruby minimal effort  alternative ruby web application framework ruby rail  nitro  camping  rango
2|gitlab open source git repository manager issue tracking wiki well continuous integration feature
2|talend open source integration vendor provide software datum integration  data quality  master datum management  big datum  business process management service  orient architecture
1|memsql high  performance distribute relational database use mysql protocol
0|clojure modern lisp dialect java virtual machine  version clr javascript   merely implementation lisp java  clojure provide access java s class ecosystem
0|gremlin graph traversal language apache tinkerpop
0|dapper micro  orm dotnet develop use stack overflow team  focus raw performance primary aim
1|openam open source access management  entitlement federation server platform
1|use tag unless address apple s iphone andor ipod touch specifically  question dependent hardware  use tag  io   another tag consider  cocoa  touch    cocoa    please refrain question regard itune app store itune connect  use csharp  tag mono
0|annotation  base android view  injection  framework aim reduce boilerplate
1|cloud computing hardware  base service involve computing  network storage capacity  service provide  demand  host cloud provider easily scale
2|powershell component microsoft window command  line shell scripting environment  many window component microsoft product expose management interface powershell  make particularly suit system administration automation task  modern day successor vbscript batch file
2|version csharp vb compiler write manage code
2|serverspec provide ruby rspec test check server configure correctly  test server actual state execute command locally  via ssh  winrm docker api
2|enterprise service bus  esb  software architecture construct provide fundamental service complex architecture via event  drive standard  base message engine  bus   developer typically implement esb use technology find category middleware infrastructure product  usually base recognize standard
0|npm official package manager nodejs  non  blocking  asynchronous  framework use google s v javascript engine  use install publish commonj module  jquery plugin  reusable javascript code  library  javascript  base cli program
0|cylonjs javascript framework robotic  physical computing  internet thing  make incredibly easy command robot device
0|aspdotnet web api framework build http service client like browser mobile device  base microsoft dotnet framework ideal choice build restful service
2|consul tool discover configuring service infrastructure
1|facebook platform let developer integrate app directly facebook social networking service  use tag question may arise develop facebook  tag support question use facebook website official facebook app  also question want implement feature similar facebook variety
1|zeptojs minimalist javascript framework modern browser  jquery  compatible syntax
2|gulp javascript build system  nodejs  base task runner like grunt  gulp use stream code   configuration simple intuitive build process
1|neventstore  aka joliver eventstore disambiguate geteventstorecom launch later  persistence library use abstract different storage implementation use event source storage mechanism  event source closely associate concept know cqrs
0|ecmascript name ecma international standard   base scripting language javascript deliver netscape ecma standardization  th edition update rd edition specification cancellation th edition  add new feature include strict mode  getter setter  json object  new method object  array  date  function prototype
2|grunt task  base command line build tool task runner javascript project
0|lambdaj library manipulate collection without iteration
1|rancher open source project provide complete platform operate docker production
0|clojure  clojurescript library asynchronous programming
2|puppet ruby  base configuration management system incorporate model  drive dsl  purpose provide configuration file enforcement  service state monitoring  package installation server  side management
1|esp highly integrate chip design need increasingly connect world  offer complete self  contain wi  fi networking solution  allow either host application offload wi  fi networking function another application processor  important aspect price chip
0|r free  open  source programming language software environment statistical computing  bioinformatic  graphic  please supplement question minimal reproducible example  statistical question please use
0|javascript  confuse java  dynamic  weakly  type language use client  side well server  side scripting  use tag question regard ecmascript various dialect  implementation  exclude actionscript google  app  script   unless another tag framework  library also include  pure javascript answer expect
2|pentaho bi suite open source business intelligence suite integrated reporting  dashboard  data mining  workflow etl capability  primarily write java
0|functional java open source library learn implement functional programming concept java
0|dart class  base  optionally  type programming language building web command  line application  dart compile modern javascript run client run natively dart vm server  side app
2|git open  source distribute version control system  dvcs
1|mongodb scalable  high  performance  open source  document  orient nosql database  support large number language application development platform  question server administration ask
1|rich internet application  ria  web application many characteristic desktop application software  typically deliver way site  specific browser  browser plug   independent sandbox  extensive use javascript  virtual machine
2|chef open source system integration framework chef  formerly opscode  allow describe configuration system infrastructure code  bring benefit configuration management entire infrastructure
1|appharbor cloud application platform dotnet  application deploy appharbor use git  mercurial  subversion tfs  large number service  relational  sql database  email  error logging  offer add  ons
1|jruby open  source java implementation ruby programming language  ruby jvm  use idiomatic ruby syntax  jruby consume java class library ease
0|rust system programming language focus three goal  safety  speed  concurrency  maintain goal without need garbage collector  make useful language number use case language not good  embed language  program specific space time requirement  write low  level code  like device driver operating system
2|docker provide high  level api containerize unix process application degree isolation repeatability across server
0|axon java application framework implement software use cqrs principle
0|html  hyper text markup language  version   umbrella term recent web technology  also late iteration html  become wc recommendation october   introduce new element apis
0|csharp  introduce feature like dynamic object  com interoperability improvement  generic co contra  variance  optional name parameter
0|nancy lightweight web framework net platform  inspire sinatra  nancy aim deliver low ceremony approach build light  fast web application
